file_name,sinhala_transcript,sinhala_transcript_with_code_switch
Download (21).wav,එක්ක යූස්ඩ් අයිෆෝන්ස් ලබා දෙන්නේ අනුරාධපුරේ තියෙන ෂාන් මොබයිල්. ඔන්න දැන් නහන්න එපා අයිෆෝන් ගන්න අනුරාධපුරේ යන්න ඕනෙද කියලා. ඔයාට වට්ස්ඇප් හරහා ඔන්ලයින් එකේම වොරන්ටි කරගන්න පුළුවන්. එක්සාම්පල් එකක් හැටියට,එක්ක used iPhones ලබා දෙන්නේ අනුරාධපුරේ තියෙන Shan Mobile. ඔන්න දැන් නහන්න එපා iPhone ගන්න අනුරාධපුරේ යන්න ඕනෙද කියලා. ඔයාට WhatsApp හරහා online එකේම warranty කරගන්න පුළුවන්. Example එකක් හැටියට
Download (22).wav,"එකක් හැටියට මට අයිෆෝන් 13 ප්‍රෝ එකක් ඕන නම් මට කරන්න තියෙන්නේ මෙන්න මේ නම්බර් එකට මැසේජ් එකක් දාන්න. ඔන්ලයින් ඒඅයි චැට්බොට් එකක් යනවා, ඒක හරහා ඔයාට ක්ෂණික රිප්ලයි එකක් හම්බෙනවා. සෝ ඔයාට ඒ ප්‍රයිස්","එකක් හැටියට මට iPhone 13 Pro එකක් ඕන නම් මට කරන්න තියෙන්නේ මෙන්න මේ number එකට message එකක් දාන්න. online AI chatbot එකක් යනවා, ඒක හරහා ඔයාට ක්ෂණික reply එකක් හම්බෙනවා. So ඔයාට ඒ price"
Download (23).wav,ඒ ප්‍රයිස් එකේ ඒ ෆෝන් එක ඕකේ නම් ඔයාට කේම වට්ස්ඇප් එකෙන් ෆෝන් එක බුක් කරගන්න පුළුවන් ආයේ ගෙදරටම ඩිලිවර් කරනවා. ඔයා මොන වෙලාවේ මැසේජ් කරත් මේ වට්ස්ඇප් බොට් එකෙන් ඔයාට ක්ෂණික රිප්ලයි එකක් අරන් දෙනවා,ඒ price එකේ ඒ phone එක okay නම් ඔයාට කේම WhatsApp එකෙන් ෆෝන් එක book කරගන්න පුළුවන් ආයේ ගෙදරටම deliver කරනවා. ඔයා මොන වෙලාවේ message කරත් මේ WhatsApp bot එකෙන් ඔයාට ක්ෂණික reply එකක් අරන් දෙනවා
Download (24).wav,අයිෆෝන් එකක් කියන්නේ අපි හැමෝම අමාරුවෙන් සල්ලි හම්බ කරලා ගන්න දෙයක්. ඉන් ෆැක්ට් මගෙත් පලවෙනි වීඩියෝස් එහෙම ගත්තේ අයිෆෝන් එක්ස් එස් එකකින්. ඊට පස්සේ තමා දැන් කැමරාස් වලට ස්විච් වුණේ. සෝ යූස්ඩ් අයිෆෝන්ස් ගත්තට පස්සේ,iPhone එකක් කියන්නේ අපි හැමෝම අමාරුවෙන් සල්ලි හම්බ කරලා ගන්න දෙයක්. In fact මගෙත් පලවෙනි videos එහෙම ගත්තේ iPhone XS එකකින්. ඊට පස්සේ තමා දැන් cameras වලට switch වුණේ. So used iPhones ගත්තට පස්සේ
Download (25).wav,"ඇත්තටම ප්‍රශ්නයක් නෑ. හොඳ වගකීමක් තියෙන තැනකින් ගන්න. ස්පෙෂලි වොරන්ටි එක පොඩ්ඩක් ඩබල් චෙක් කරලා බලන්න. සෝ අයිෆෝන් එකට ඉන්වෙස්ට් කරන්න ඉන්නවනම් ඇත්තටම ඒක හොඳම තැනකින් ඉන්වෙස්ට් කරන්න, එහෙම නැත්නම් ඔයාගේ අතින් තමා අන්තිමට වියදම් වෙන්න.","ඇත්තටම ප්‍රශ්නයක් නෑ. හොඳ වගකීමක් තියෙන තැනකින් ගන්න. specially warranty එක පොඩ්ඩක් double check කරලා බලන්න. So iPhone එකට invest කරන්න ඉන්නවනම් ඇත්තටම ඒක හොඳම තැනකින් invest කරන්න, එහෙම නැත්නම් ඔයාගේ අතින් තමා අන්තිමට වියදම් වෙන්න"
Download (26).wav,අන්තිමට වියදම් වෙන්නේ. සෝ ෂාන් මොබයිල් ලාව කන්ටැක්ට් කරගන්න ඕනේ කන්ටැක්ට් ඩීටේල්ස් වට්ස්ඇප් නම්බර්ස් ඔක්කොම මම පල්ලෙහා ඩිස්ක්‍රිප්ෂන් එකේ දෙන්නම්. සෝ මේ වීඩියෝ එක ළඟදීම අයිෆෝන් එකක් ගන්න ඉන්න ඔයාලගේ යාළුවන්ට ෂෙයා කරන්න,"අන්තිමට වියදම් වෙන්නේ. So Shan Mobileලව contact කරගන්න ඕනේ contact details, WhatsApp numbers ඔක්කොම මම පල්ලෙහා description එකේ දෙන්නම්. So මේ video එක ළඟදීම iPhone එකක් ගන්න ඉන්න ඔයාලගේ යාළුවන්ට share කරන්න"
Download (28).wav,ඔයා වගේ සැම්සුන් ගැලැක්සි ෆෝන් එක චාජර් එකට දාගෙන ගේම්ස් ගහනවා නම් මෙන්න මේ සීක්‍රට් සෙටින්ග් එක අනිවාර්යයෙන් ඔන් කරගන්න. මේක ඔයාගේ බැටරි එක ගේම්ස් ගහනකොට ඕවර් හීට් වෙන එකෙන් ආරක්ෂා කරනවා. ඒ වගේම ඔයාට,ඔයා වගේ Samsung Galaxy phone එක charger එකට දාගෙන games ගහනවා නම් මෙන්න මේ secret setting එක අනිවාර්යයෙන් on කරගන්න. මේක ඔයාගේ battery එක games ගහනකොට overheat වෙන එකෙන් ආරක්ෂා කරනවා. ඒ වගේම ඔයාට
Download (29).wav,ම ඔයාට හොඳ පර්ෆෝමන්ස් එකක් හම්බෙනවා. ඒ වගේම ලෝන් ටර්ම් බැටරි හෙල්ත් එකත් මේන්ටේන් වෙනවා. ඒකට කලින් මතක ඇතුව මේ වීඩියෝ එක සේව් කරලා ලයික් කරලා තියාගන්න. ඒ කියන්නේ ආයේ ඔයාට මේක මිස් වෙන්නේ නැහැ,ම ඔයාට හොඳ performance එකක් හම්බෙනවා. ඒ වගේම long-term battery health එකත් maintain වෙනවා. ඒකට කලින් මතක ඇතුව මේ video එක save කරලා like කරලා තියාගන්න. ඒ කියන්නේ ආයේ ඔයාට මේක miss වෙන්නේ නැහැ
Download (30).wav,නෑ. ෆෝන් එක චාජර් එකට කනෙක්ට් කරලා සෙටින්ග්ස් වලට යන්න. දැන් ඇඩ්වාන්ස් ෆීචර්ස් වලට යන්න. දැන් ගේම් බූස්ටර් සෙටින්ග්ස් ක්ලික් කරන්න. දැන් මෙන්න මේ සෙටින්ග්ස් එක ඔන් වෙලාද කියලා ඩබල් චෙක් කරගන්න,නෑ. Phone එක charger එකට connect කරලා settings වලට යන්න. දැන් advanced features වලට යන්න. දැන් Game Booster settings click කරන්න. දැන් මෙන්න මේ settings එක on වෙලාද කියලා double check කරගන්න
Download (31).wav,යන්න. ඒක තමා පෝස්ට් යූඑස්බී පීඩී චාජින් වෙන් ගේමින්. මේ සෙටින්ග් එකෙන් ඔයාගේ ෆෝන් එක බයිපාස් චාජින් යූස් කරන්න පටන් ගන්නවා ඔයා ගේම්ස් ගහනකොට. ඒ කියන්නේ ඔයා ගේම්ස් ගහනකොට ඩිරෙක්ට්ලි,යන්න. ඒක තමා bypass USB PD charging when gaming. මේ setting එකෙන් ඔයාගේ phone එක bypass charging use කරන්න පටන් ගන්නවා ඔයා games ගහනකොට. ඒ කියන්නේ ඔයා games ගහනකොට directly
Download (32).wav,"ඔන්න ඔයා ලක්ෂ දෙකක් විතර වියදම් කරලා වින්ඩෝස් ලැප්ටොප් එකක් අරන් ආවා. හොඳ ප්‍රොසෙසර් එකක් තියෙනවා, රැම් එක තියෙනවා ඔක්කොම හොඳයි. හැබැයි ඔයා එක ගෙනල්ලා ස්ටාර්ට් කරපු ගමන් මුලින්ම","ඔන්න ඔයා ලක්ෂ දෙකක් විතර වියදම් කරලා Windows ලැප්ටොප් එකක් අරන් ආවා. හොඳ processor එකක් තියෙනවා, RAM එක තියෙනවා ඔක්කොම හොඳයි. හැබැයි ඔයා එක ගෙනල්ලා start කරපු ගමන් මුලින්ම"
Download (33).wav,"මුලින්ම ඔයාගේ මයික්‍රොසොෆ්ට් එකවුන්ට් එක ඉල්ලනවා. ඊට පස්සේ ඔයා ස්ටාර්ට් මෙනු එකට ගියපු ගමන් ඇඩ්ස් හැම තැනම, ඊට පස්සේ ඔයා ජීවිතයට යූස් කරන්නේ නැති බ්ලෝට්වෙයාර් ඇප්ස් ඔයාට සෑහෙන්න බලාගන්න පුළුවන්. ඊට පස්සේ මෙන්න මේ","මුලින්ම ඔයාගේ Microsoft account එක ඉල්ලනවා. ඊට පස්සේ ඔයා start menu එකට ගියපු ගමන් ads හැම තැනම, ඊට පස්සේ ඔයා ජීවිතයට use කරන්නේ නැති bloatware apps ඔයාට සෑහෙන්න බලාගන්න පුළුවන්. ඊට පස්සේ මෙන්න මේ"
Download (34).wav,"මෙන්න මේ කෝ-පයිලට් කියන එක හැමතැනම බලාගන්න පුළුවන්. ඒ වගේම ඔයා ඩොකියුමන්ට් එකක් හදන්න ගියපු ගමන් එතනත් සබ්ස්ක්‍රිප්ෂන් එකක් ඉල්ලනවා. මේක ඔයා බග් එකක් කියලා හිතුවොත් නම් ඒක බග් එකක් නෙමෙයි, මේක ප්ලෑන් එකක්. මේක වෙලා","මෙන්න මේ Co-pilot කියන එක හැමතැනම බලාගන්න පුළුවන්. ඒ වගේම ඔයා document එකක් හදන්න ගියපු ගමන් එතනත් subscription එකක් ඉල්ලනවා. මේක ඔයා bug එකක් කියලා හිතුවොත් නම් ඒක bug එකක් නෙමෙයි, මේක plan එකක්. මේක වෙලා"
Download (35).wav,"මේක වෙලා තියෙන හේතුව තමා ඒඅයි. ඇයි මෙහෙම වෙන්නේ, ඒ වගේම අපි ඉස්සර යූස් කරපු ඕජී වින්ඩෝස් වගේ දැන් අපිට වින්ඩෝස් එක එහෙම බලාගන්න බෑ. ඒකට හේතු මොනවාද? මේවා ගැන තමා අද මේ වීඩියෝ එකේ ඩිස්කස් කරන්න යන්නේ","මේක වෙලා තියෙන හේතුව තමා AI. ඇයි මෙහෙම වෙන්නේ, ඒ වගේම අපි ඉස්සර use කරපු OG Windows වගේ දැන් අපිට Windows එක එහෙම බලාගන්න බෑ. ඒකට හේතු මොනවාද? මේවා ගැන තමා අද මේ video එකේ discuss කරන්න යන්නේ"
Download (36).wav,"ගන්න යන්නේ. සෝ ඒකට කලින් මෙන්න මේ වීඩියෝ එක ලයික් කරලා අපේ චැනල් එක සබ්ස්ක්‍රයිබ් කරලා තියාගන්න. සෝ මේ ඉන්නේ කසුන්. එයා පරණ ලැප්ටොප් එක අහක් කරලා, මාස ගානක් සල්ලි එකතු කරලා, අලුත් වින්ඩෝස් 11 ලැප්ටොප් එකක් ගන්නවා","ගන්න යන්නේ. So ඒකට කලින් මෙන්න මේ video එක like කරලා අපේ channel එක subscribe කරලා තියාගන්න. So මේ ඉන්නේ කසුන්. එයා පරණ laptop එක අහක් කරලා, මාස ගානක් සල්ලි එකතු කරලා, අලුත් Windows 11 laptop එකක් ගන්නවා"
Download (37).wav,එකක් ගන්නවා. සෝ සතුටින් පලවෙනි සැරේ ඒ ලැප්ටොප් එක බූට් කරනවා. පලවෙනි සැරේ එයා සෙට් අප් කරන්න යනකොට එයාට වයිෆයි කනෙක්ෂන් එකක් ඉල්ලනවා. ඊට පස්සේ එයාගේ මයික්‍රොසොෆ්ට් එකවුන්ට් එකට සයින් ඉන් වෙන්න කියනවා. එයාට සෙට් අප් ප්‍රොසෙස් එක,එකක් ගන්නවා. So සතුටින් පලවෙනි සැරේ ඒ laptop එක boot කරනවා. පලවෙනි සැරේ එයා setup කරන්න යනකොට එයාට Wi-Fi connection එකක් ඉල්ලනවා. ඊට පස්සේ එයාගේ Microsoft account එකට sign in වෙන්න කියනවා. එයාට setup process එක
Download (38).wav,"ප්‍රොසෙස් එකෙන් ඉස්සරහට යන්න. මේකේ ස්කිප් කරන්න බැහැ, අනිවාර්යයෙන් මේක කරන්න වෙනවා. මේක ස්කිප් කරන්න මෙතඩ් එකක් තියෙනවා, ඒක දන්නේ ඉතාමත් සීමිත පිරිසක් නැත්නම් මෙන්න මේ වගේ ටෙක් ඉන්තූසියාස්ට්ලා විතරයි","Process එකෙන් ඉස්සරහට යන්න. මේකේ skip කරන්න බැහැ, අනිවාර්යයෙන් මේක කරන්න වෙනවා. මේක skip කරන්න method එකක් තියෙනවා, ඒක දන්නේ ඉතාමත් සීමිත පිරිසක් නැත්නම් මෙන්න මේ වගේ tech enthusiastsලා විතරයි"
Download (39).wav,සාමාන්‍ය කෙනෙක්ට ඒවා දන්නෑ. එයාලා අනිවාර්යයෙන් සයින්-ඉන් වෙලා තමා යන්න වෙන්නේ. කමක් නෑ කියලා එයා එකවුන්ට් එකක් හදලා සෙට්-අප් එක ෆිනිෂ් කරලා ඩෙස්ක්ටොප් එකට යනවා. ඩෙස්ක්ටොප් එක ස්ටාර්ට් වුණ ගමන් එයා ස්ටාර්ට් මෙනු එක ක්ලික් කරපු,සාමාන්‍ය කෙනෙක්ට ඒවා දන්නෑ. එයාලා අනිවාර්යයෙන් sign-in වෙලා තමා යන්න වෙන්නේ. කමක් නෑ කියලා එයා account එකක් හදලා setup එක finish කරලා desktop එකට යනවා. desktop එක start වුණ ගමන් එයා start menu එක click කරපු
Download (40).wav,ක්ලික් කරපු ගමන් එතන ඇඩ්ස් සෑහෙන්න ප්‍රමාණයක් බලාගන්න පුළුවන්. ඊට පස්සේ එයා ජීවිතයට යූස් කරන්න නැති බ්ලෝට්වෙයාර් ඇප්ස් සෑහෙන්න ගොඩක් බලාගන්න පුළුවන්. ඊට අමතරව එයා ජීවිතයට ප්ලේ කරන්න කැමති නැති ගේම්ස්,Click කරපු ගමන් එතන ads සෑහෙන්න ප්‍රමාණයක් බලාගන්න පුළුවන්. ඊට පස්සේ එයා ජීවිතයට use කරන්න නැති bloatware apps සෑහෙන්න ගොඩක් බලාගන්න පුළුවන්. ඊට අමතරව එයා ජීවිතයට play කරන්න කැමති නැති games
Download (41).wav,ගේම්සුත් එයාට සජෙස්ට් වෙනවා. ඊට පස්සේ කමක් නෑ මම එසයින්මන්ට් කරන්න තමා මේක ගත්තේ කියලා එයා එසයින්මන්ට් කරන්න මයික්‍රොසොෆ්ට් වර්ඩ් එක ඕපන් කරනවා. ඊට පස්සේ එයාට ලොකු පොප් අප් එකක් එනවා මයික්‍රොසොෆ්ට් 360,Gamesුත් එයාට suggest වෙනවා. ඊට පස්සේ කමක් නෑ මම assignment කරන්න තමා මේක ගත්තේ කියලා එයා assignment කරන්න Microsoft Word එක open කරනවා. ඊට පස්සේ එයාට ලොකු pop up එකක් එනවා Microsoft 360
Download (42).wav,"365 එකට සබ්ස්ක්‍රිප්ෂන් එකක් ගෙවන්න කියලා. මයික්‍රොසොෆ්ට් වර්ඩ්, මයික්‍රොසොෆ්ට් පවර් පොයින්ට්, එක්සෙල්, වන්ඩ්‍රයිව්, ඊට පස්සේ කෝ-පයිලට් මේවා ඔක්කොම සබ්ස්ක්‍රිප්ෂන් එකක් පිටිපස්සේ මයික්‍රොසොෆ්ට් ලොක් කර","365 එකට subscription එකක් ගෙවන්න කියලා. Microsoft Word, Microsoft PowerPoint, Excel, OneDrive, ඊට පස්සේ Co-pilot මේවා ඔක්කොම subscription එකක් පිටිපස්සේ Microsoft ලා lock කර"
